Name,Discount_percentage,Price,Rating,Release,Ends,Started,Jogos Gratis
Bang Bang Fruit,-50%,"R$ 1,74",55.52%,02/2017,in 3 days,11 days ago,
Princess Isabella: The Rise of an Heir,-75%,"R$ 11,74",55.38%,05/2016,in 11 days,3 days ago,
Naughty College 18+,-50%,"R$ 16,49",55.29%,07/2023,in 5 days,9 days ago,
Wordle 5,-50%,"R$ 1,74",55.21%,10/2022,in 6 days,8 days ago,
Wild Romance,-69%,"R$ 8,36",55.18%,10/2016,in 7 days,8 days ago,
Comanche,-75%,"R$ 11,24",55.15%,08/2021,in 3 days,4 days ago,
Ageless,-80%,"R$ 15,98",54.97%,07/2020,in 3 days,11 days ago,
Sky Battles,-90%,"R$ 1,74",54.90%,03/2015,in 4 days,10 days ago,
Fetish Room 18+,-35%,"R$ 30,54",54.90%,04/2024,in 5 days,9 days ago,
Skyward Collapse,-75%,"R$ 4,24",46.42%,05/2013,in 5 days,2 days ago,
Strategic War in Europe,-88%,"R$ 2,45",46.16%,03/2014,in 3 days,4 days ago,
Don't Cheat On Me,-65%,"R$ 5,80",46.12%,01/2021,in 6 days,8 days ago,
Rise of the Ancients,-90%,"R$ 1,74",45.88%,05/2016,in 11 days,3 days ago,
Colonize,-50%,"R$ 24,99",45.47%,02/2024,in 3 days,4 days ago,
Time Mysteries: Inheritance - Remastered,-75%,"R$ 11,74",45.05%,10/2014,in 11 days,3 days ago,
Raywin,-90%,"R$ 1,74",45.01%,07/2015,in 4 days,10 days ago,
Silent Hunter 5®: Battle of the Atlantic,-75%,"R$ 7,49",45.01%,03/2010,in 2 days,12 days ago,
ADventure Lib,-50%,"R$ 3,49",44.49%,08/2015,in 3 days,4 days ago,
深海：即刻抉择,-60%,"R$ 4,95",44.24%,03/2020,in 3 days,11 days ago,
The Life of One Dog,-50%,"R$ 1,74",43.75%,10/2018,in 4 days,10 days ago,
Gold Hunter,-20%,"R$ 59,19",43.05%,05/2022,in 2 days,12 days ago,
Vapour,-6%,"R$ 14,59",42.75%,07/2015,—,4 days ago,
Valhalla：Awakening of Valkyrie,-50%,"R$ 8,29",42.40%,09/2022,in 7 days,8 days ago,
Kitchen Simulator 2015,-50%,"R$ 1,74",42.24%,09/2015,in 3 days,4 days ago,
Super Meat Shooter,-50%,"R$ 1,74",41.59%,11/2017,in 3 days,4 days ago,
