Name,Discount_percentage,Price,Rating,Release,Ends,Started
Nitroplus Blasterz: Heroines Infinite Duel,-75%,"R$ 9,49",85.39%,Dec 2016,,
River Town Factory,-33%,"R$ 31,48",85.36%,Feb 2024,,
Lost Castle / 失落城堡,-60%,"R$ 7,99",85.24%,Sep 2016,,
EVERSPACE™ 2,-60%,"R$ 55,99",85.13%,Apr 2023,,
Ys VI: The Ark of Napishtim,-75%,"R$ 9,24",85.02%,Apr 2015,,
METAL SLUG X,-80%,"R$ 3,19",85.00%,Oct 2014,,
月球坠落时 Moon Fall,-77%,"R$ 6,66",85.00%,Aug 2020,,
"Magical Mic Duel: Senpai, Hear My Spell",-50%,"R$ 11,75",84.95%,May 2024,,
Enshrouded,-20%,"R$ 71,99",84.49%,Jan 2024,,
Tavern Manager Simulator 🍻,-20%,"R$ 31,99",84.26%,Aug 2024,,
Prison Simulator,-47%,"R$ 20,13",83.73%,Nov 2021,,
Monster Hunter Stories,-20%,"R$ 103,20",83.63%,Jun 2024,,
METAL SLUG 2,-80%,"R$ 2,79",83.50%,Apr 2016,,
STAR WARS™: Bounty Hunter™,-25%,"R$ 44,99",82.94%,Aug 2024,,
Chef RPG,-10%,"R$ 53,99",82.88%,Sep 2024,,
Chef Life: A Restaurant Simulator,-70%,"R$ 26,69",81.57%,Feb 2023,,
A Perfect Day,-41%,"R$ 35,39",81.27%,Feb 2022,,
Anomaly Collapse,-16%,"R$ 50,39",80.20%,Apr 2024,,
"Warhammer 40,000: Rogue Trader",-40%,"R$ 74,99",79.64%,Dec 2023,,
EA SPORTS FC™ 25,-50%,"R$ 149,50",46.06%,Sep 2024,,
Phoenix Wright: Ace Attorney Trilogy,-67%,"R$ 23,09",95.58%,Apr 2019,,
The Case of the Golden Idol,-40%,"R$ 22,79",95.17%,Oct 2022,,
Lost in Play,-60%,"R$ 20,00",94.77%,Aug 2022,,
Crime Scene Cleaner,-20%,"R$ 44,79",94.75%,Aug 2024,in 12 days,2 days ago
LIZARDS MUST DIE,-50%,"R$ 3,49",94.59%,Sep 2023,in 3 days,11 days ago
Stacklands,-40%,"R$ 15,89",94.31%,Apr 2022,in 12 days,2 days ago
Aokana - Four Rhythms Across the Blue - EXTRA2,-27%,"R$ 54,01",94.28%,Dec 2022,in 3 days,4 days ago
A Space for the Unbound,-40%,"R$ 35,99",93.96%,Jan 2023,in 12 days,2 days ago
Epiphyllum in Love,-40%,"R$ 7,20",93.82%,Mar 2020,in 3 days,4 days ago
Total War: MEDIEVAL II – Definitive Edition,-75%,"R$ 21,24",93.72%,Nov 2006,in 3 days,4 days ago
Winter Memories,-20%,"R$ 30,39",93.70%,Jan 2024,in 11 days,yesterday
Frog Detective 3: Corruption at Cowboy County,-45%,"R$ 9,34",93.66%,Oct 2022,in 3 days,4 days ago
Loddlenaut,-50%,"R$ 27,49",93.59%,Nov 2023,in 6 days,yesterday
Game Dev Tycoon,-75%,"R$ 7,49",93.49%,Aug 2013,in 4 days,10 days ago
PlateUp!,-66%,"R$ 20,39",93.05%,Aug 2022,in 10 days,4 days ago
Against the Storm,-50%,"R$ 34,99",92.92%,Dec 2023,in 8 days,6 days ago
Snufkin: Melody of Moominvalley,-20%,"R$ 47,99",92.85%,Mar 2024,in 3 days,11 days ago
Cobalt Core,-25%,"R$ 44,99",92.55%,Nov 2023,in 5 days,2 days ago
Pentiment,-50%,"R$ 49,50",92.05%,Nov 2022,in 3 days,5 hours ago
恋爱绮谭 不存在的真相,-33%,"R$ 18,68",92.02%,Oct 2022,,
Empires of the Undergrowth,-50%,"R$ 34,99",91.83%,Jun 2024,,
小白兔电商~Bunny e-Shop,-33%,"R$ 18,75",91.68%,Nov 2021,,
Bagel Love Story,-10%,"R$ 12,41",91.68%,May 2024,,
Dystopika,-20%,"R$ 18,80",91.50%,Jun 2024,,
Wandersong,-75%,"R$ 9,24",91.41%,Sep 2018,,
Arco,-20%,"R$ 40,00",91.37%,Aug 2024,,
The Great Ace Attorney Chronicles,-60%,"R$ 47,99",91.21%,Jul 2021,,
Cyber Manhunt,-45%,"R$ 21,99",91.15%,Feb 2021,,
恋爱绮谭~不存在的夏天~,-50%,"R$ 9,29",91.13%,Oct 2020,,
dotAGE,-25%,"R$ 41,24",91.12%,Oct 2023,,
Multi Turret Academy,-15%,"R$ 25,49",91.04%,Jan 2024,,
Summer Memories,-75%,"R$ 9,49",90.77%,Jun 2020,,
Islets,-50%,"R$ 29,99",90.68%,Aug 2022,,
Tiny Terry's Turbo Trip,-33%,"R$ 36,84",90.66%,May 2024,,
Cross Princess,-35%,"R$ 6,81",90.34%,Sep 2020,,
Short Stories Collection of Class Tangerine,-60%,"R$ 6,39",90.27%,Sep 2017,,
Hearts of Iron IV,-70%,"R$ 53,99",90.06%,Jun 2016,,
Ambrosia,-25%,"R$ 21,74",89.96%,Jan 2021,,
Weird RPG,-50%,"R$ 11,39",89.70%,Oct 2022,,
Ten Trials of Babel: The Doppelganger Maze,-10%,"R$ 9,00",89.67%,Mar 2022,,
A Little to the Left,-40%,"R$ 25,79",89.64%,Nov 2022,,
Demons Roots,-25%,"R$ 28,49",89.63%,Jan 2023,,
Ys: The Oath in Felghana,-70%,"R$ 8,39",89.58%,Mar 2012,,
Galaxy Burger,-20%,"R$ 28,79",89.55%,Aug 2024,,
Gourdlets,-20%,"R$ 13,59",89.37%,Aug 2024,,
Total War: NAPOLEON – Definitive Edition,-75%,"R$ 21,24",89.35%,Feb 2010,,
Pizza Possum,-40%,"R$ 14,10",89.34%,Sep 2023,,
Overcooked! 2,-75%,"R$ 14,97",89.25%,Aug 2018,,
Showgunners,-60%,"R$ 35,59",89.18%,May 2023,,
Bear's Restaurant,-30%,"R$ 18,82",89.13%,Oct 2021,,
Total War: EMPIRE – Definitive Edition,-75%,"R$ 21,24",89.00%,Mar 2009,,
Choice of Life: Middle Ages 2,-60%,"R$ 9,40",88.83%,Sep 2022,,
Cat God Ranch,-10%,"R$ 29,69",88.83%,Sep 2024,,
Cataclismo,-35%,"R$ 45,49",88.59%,Jul 2024,,
Medieval II: Total War™ Kingdoms,-75%,"R$ 21,24",88.48%,Aug 2007,,
Re: LieF ~ Shin'ainaru Anata e~,-60%,"R$ 26,39",88.48%,Feb 2021,,
Fate/Samurai Remnant,-43%,"R$ 170,43",88.45%,Sep 2023,,
Go-Go Town!,-10%,"R$ 44,99",88.33%,Jun 2024,,
Yolk Heroes: A Long Tamago,-21%,"R$ 20,92",88.32%,May 2024,,
The Escapists,-80%,"R$ 9,19",88.10%,Feb 2015,,
The Wandering Village,-25%,"R$ 35,61",87.66%,Sep 2022,,
The Herbalist,-40%,"R$ 7,19",87.64%,Nov 2016,,
Atelier Ryza 2: Lost Legends & the Secret Fairy,-60%,"R$ 119,60",87.62%,Jan 2021,,
Atelier Ryza 3: Alchemist of the End & the Secret Key,-40%,"R$ 179,40",87.62%,Mar 2023,,
Clothing Store Simulator,-25%,"R$ 29,99",87.59%,Jun 2024,,
Old School Rally,-10%,"R$ 29,69",87.40%,Jul 2024,,
Lonely Mountains: Downhill,-75%,"R$ 9,24",87.29%,Oct 2019,,
Ruins Seeker,-30%,"R$ 26,59",87.05%,May 2020,,
Monster Hunter: World,-67%,"R$ 32,96",86.93%,Aug 2018,,
Clanfolk,-50%,"R$ 34,99",86.90%,Jul 2022,,
To Be or Not to Be,-40%,"R$ 16,13",86.75%,Dec 2022,,
Gordian Quest,-51%,"R$ 18,61",86.58%,Jun 2022,,
Nioh 2 – The Complete Edition,-45%,"R$ 136,95",86.53%,Feb 2021,,
Succubus Affection,-25%,"R$ 28,49",86.45%,Oct 2020,,
Pillars of Eternity,-75%,"R$ 13,99",86.39%,Mar 2015,,
Let's Build a Zoo,-60%,"R$ 15,19",86.25%,Nov 2021,,
Pillars of Eternity II: Deadfire,-75%,"R$ 18,50",86.03%,May 2018,,
Cloudpunk,-65%,"R$ 20,99",85.96%,Apr 2020,,
Backpack Hero,-35%,"R$ 25,99",85.70%,Nov 2023,,
TrymenT ―献给渴望改变的你― AlphA篇,-68%,"R$ 28,15",85.64%,Feb 2020,,
Treasure Hunter Claire,-75%,"R$ 9,49",85.63%,Jul 2018,,
Choice of Life: Middle Ages,-80%,"R$ 3,39",85.16%,Nov 2020,,
Ys I & II Chronicles+,-70%,"R$ 8,39",85.14%,Feb 2013,,
Operation: Tango,-55%,"R$ 34,13",85.12%,Jun 2021,,
I Am Future: Cozy Apocalypse Survival,-35%,"R$ 38,99",85.02%,Nov 2024,,
Corpse Party,-70%,"R$ 8,39",84.93%,Apr 2016,,
DAEMON X MACHINA,-60%,"R$ 37,59",84.65%,Feb 2020,,
The Last Show of Mr. Chardish,-70%,"R$ 9,89",84.32%,Nov 2020,,
Warhammer: Vermintide 2,-95%,"R$ 4,44",83.78%,Mar 2018,,
Red Orchestra: Ostfront 41-45,-60%,"R$ 4,35",83.68%,Mar 2006,,
SHOGUN: Total War™ - Collection,-75%,"R$ 6,24",83.47%,Jun 2000,,
Melon Journey: Bittersweet Memories,-70%,"R$ 14,09",83.00%,Apr 2023,,
Vellum,-30%,"R$ 41,99",82.53%,Mar 2024,,
Doomsday Paradise,-25%,"R$ 26,24",82.45%,Nov 2023,,
SENRAN KAGURA Peach Ball,-70%,"R$ 17,39",82.34%,Aug 2019,,
We Were Here Together,-62%,"R$ 15,95",82.33%,Oct 2019,,
AKIBA'S TRIP: Undead ＆ Undressed,-60%,"R$ 15,19",82.11%,May 2015,,
Corpse Party: Book of Shadows,-50%,"R$ 14,49",82.02%,Oct 2018,,
