Name,Discount_percentage,Price,Rating,Release,Ends,Started,Jogos Gratis
Farewell North,-20%,"R$ 71,96",89.61%,08/2024,,,
Crystalline,-75%,"R$ 14,99",89.55%,08/2018,,,
Chinese Parents,-40%,"R$ 17,99",89.55%,09/2018,,,
Take me,-15%,"R$ 8,91",89.53%,11/2024,,,
Season of 12 Colors,-50%,"R$ 5,24",89.50%,03/2016,,,
Ynglet,-30%,"R$ 18,54",89.49%,06/2021,,,
Arma 3,-80%,"R$ 19,99",89.46%,09/2013,,,
The Doors of Trithius,-15%,"R$ 28,04",89.33%,08/2021,,,
Death of the Reprobate,-10%,"R$ 37,79",89.32%,11/2024,,,
Monster Sanctuary,-75%,"R$ 34,99",89.27%,12/2020,,,
Aground,-66%,"R$ 15,97",89.25%,04/2020,,,
FIND ALL 2: Middle Ages,-26%,"R$ 5,17",89.24%,03/2022,,,
Crossroad OS,-25%,"R$ 12,74",89.18%,12/2023,,,
Under Leaves,-75%,"R$ 2,62",89.16%,04/2017,,,
Fureraba ~Friend to Lover~,-50%,"R$ 44,49",89.10%,05/2018,,,
Rampage Knights,-70%,"R$ 12,59",88.96%,09/2015,,,
Workers & Resources: Soviet Republic,-50%,"R$ 49,99",88.96%,06/2024,,,
Soulslayer～灭魂·误佳期～,-50%,"R$ 12,49",88.90%,07/2017,,,
Ex-Zodiac,-25%,"R$ 15,51",88.89%,07/2022,,,
FlatOut,-70%,"R$ 20,99",88.83%,07/2005,—,,
Pupperazzi: The Dog Photography Game,-50%,"R$ 29,99",88.78%,01/2022,,,
"Braid, Anniversary Edition",-70%,"R$ 17,99",88.75%,05/2024,,,
100 hidden turtles,-80%,"R$ 2,75",88.74%,09/2022,,,
Uncover the Smoking Gun,-30%,"R$ 41,99",88.74%,06/2024,,,
Tree Simulator 2020,-50%,"R$ 3,49",88.73%,03/2019,,,
Broken Reality,-75%,"R$ 7,24",88.66%,11/2018,,,
Regency Solitaire,-57%,"R$ 14,18",88.65%,05/2015,,,
Hidden Cats in Berlin,-10%,"R$ 8,68",88.63%,03/2024,,,
Beastieball,-10%,"R$ 66,59",88.63%,11/2024,,,
Midnight Ramen,-20%,"R$ 30,79",88.62%,07/2024,,,
Bone's Cafe,-50%,"R$ 23,49",88.59%,10/2022,,,
Grow Home,-75%,"R$ 5,99",88.58%,02/2015,,,
Chicken Journey,-35%,"R$ 21,44",88.58%,08/2023,,,
CONSCRIPT,-35%,"R$ 56,16",88.41%,07/2024,,,
Star Stuff,-25%,"R$ 35,24",88.28%,06/2024,,,
X-Morph: Defense,-25%,"R$ 55,90",88.26%,08/2017,—,,
Renai Karichaimashita: Koikari - Love For Hire,-40%,"R$ 53,39",88.25%,10/2021,,,
Astrea: Six-Sided Oracles,-20%,"R$ 47,99",88.21%,09/2023,,,
Tricky Towers,-67%,"R$ 15,50",88.19%,08/2016,,,
Tiny and Big: Grandpa's Leftovers,-85%,"R$ 5,77",88.16%,06/2012,,,
Angry Video Game Nerd I & II Deluxe,-20%,"R$ 15,99",88.12%,10/2020,,,
Svoboda 1945: Liberation,-72%,"R$ 8,67",88.11%,08/2021,,,
Sacred Fire: A Role Playing Game,-33%,"R$ 38,85",88.01%,10/2021,,,
Irotoridori No Sekai HD - The Colorful World,-20%,"R$ 81,59",87.98%,02/2024,,,
Welcome to Elk,-60%,"R$ 11,59",87.94%,09/2020,,,
Cultivation Story: Reincarnation,-30%,"R$ 14,48",87.92%,01/2023,,,
Regency Solitaire II,-32%,"R$ 31,95",87.89%,02/2024,,,
Tainted Grail: Conquest,-60%,"R$ 15,19",87.84%,05/2021,,,
The House of Da Vinci 2,-60%,"R$ 23,99",87.81%,05/2020,,,
Enigmatis 3: The Shadow of Karkhala,-70%,"R$ 14,09",87.76%,08/2016,,,
Knights Within,-35%,"R$ 35,74",87.76%,05/2024,,,
ULTIMATE HARDBASS DEFENCE,-70%,"R$ 4,13",87.75%,04/2019,,,
Garden of the Sea (VR),-5%,"R$ 56,98",87.73%,01/2022,—,yesterday,
Little Mouse's Encyclopedia,-75%,"R$ 2,72",87.71%,02/2019,in 3 days,4 days ago,
100 hidden snails 2,-80%,"R$ 2,09",87.70%,02/2021,in 3 days,4 days ago,
OPUS: Rocket of Whispers,-50%,"R$ 23,49",87.67%,02/2018,in 4 days,10 days ago,
Ethereal Enigma,-75%,"R$ 14,99",87.66%,08/2020,in 3 days,4 days ago,
Tom Clancy's Rainbow Six® 3 Gold,-75%,"R$ 7,49",87.66%,03/2003,in 2 days,12 days ago,
纯爱独白：小小 Purelove Monologue: Xiaoxiao,-30%,"R$ 11,89",87.65%,03/2024,in 3 days,8 days ago,
A Juggler's Tale,-80%,"R$ 10,99",87.59%,09/2021,in 3 days,11 days ago,
ODDADA,-20%,"R$ 26,39",87.58%,08/2024,in 11 days,3 days ago,
Pyrene,-15%,"R$ 39,94",87.56%,09/2024,in 5 days,2 days ago,
Sweet Shine,-26%,"R$ 14,57",87.51%,08/2021,in 18 hours,13 days ago,
MEMOLOGY: GOYDA,-70%,"R$ 2,09",87.48%,05/2024,in 12 days,yesterday,
LunarLux,-52%,"R$ 29,89",87.47%,09/2023,in 11 days,3 days ago,
Oh...Sir!! The Insult Simulator,-60%,"R$ 2,79",87.46%,10/2016,in 5 days,2 days ago,
Grow Up,-75%,"R$ 7,49",87.45%,08/2016,in 2 days,12 days ago,
OXXO,-50%,"R$ 3,49",87.44%,08/2019,in 3 days,4 days ago,
Cats Everywhere,-20%,"R$ 2,79",87.43%,02/2024,,,
World End Diner,-20%,"R$ 39,99",87.39%,06/2021,,,
Screencheat,-80%,"R$ 9,39",87.37%,10/2014,,,
Hero of the Kingdom: The Lost Tales 1,-80%,"R$ 4,70",87.34%,04/2020,,,
Memory Oblivion Box,-55%,"R$ 10,80",87.34%,06/2016,,,
Genome Guardian,-18%,"R$ 29,75",87.30%,05/2024,—,,
Koi-Koi Japan [Hanafuda playing cards],-19%,"R$ 30,26",87.28%,04/2015,—,,
Eventide: Slavic Fable,-80%,"R$ 9,39",87.26%,01/2016,,,
Ova Magica,-20%,"R$ 59,19",87.25%,07/2024,,,
Grim Legends 3: The Dark City,-70%,"R$ 14,09",87.20%,06/2016,,,
Atelier Meruru ~The Apprentice of Arland~ DX,-50%,"R$ 99,50",87.19%,12/2018,,,
Chicken Assassin: Reloaded,-65%,"R$ 5,94",87.16%,06/2016,,,
Is this Game Trying to Kill Me?,-15%,"R$ 33,15",87.15%,11/2024,,,
Quilts and Cats of Calico,-20%,"R$ 47,99",87.08%,03/2024,,,
GLAD VALAKAS SIMULATOR,-50%,"R$ 1,74",87.07%,06/2018,,,
100 hidden snails,-70%,"R$ 2,09",87.04%,11/2020,,,
Attack Core,-10%,"R$ 18,44",87.04%,11/2024,,,
IS Defense,-70%,"R$ 3,71",87.00%,04/2016,,,
Geneforge 1 - Mutagen,-29%,"R$ 36,74",87.00%,02/2021,—,,
Clockwork Tales: Of Glass and Ink,-70%,"R$ 14,09",86.97%,08/2013,,,
Rayman® Legends,-80%,"R$ 17,99",86.96%,09/2013,,,
Touhou Gensokyo Visitor,-31%,"R$ 5,99",86.96%,10/2020,,,
Six Ages 2: Lights Going Out,-20%,"R$ 59,19",86.96%,08/2023,,,
420BLAZEIT 2: GAME OF THE YEAR -=Dank Dreams and Goated Memes=- [#wow/11 Like and Subscribe] Poggerz Edition,-10%,"R$ 32,21",86.92%,11/2024,,,
Golf With Your Friends,-65%,"R$ 30,24",86.90%,05/2020,,,
Unboxing the Cryptic Killer,-30%,"R$ 14,34",86.86%,04/2023,,,
Mecha Knights: Nightmare,-55%,"R$ 22,49",86.85%,08/2021,,,
Happy Room,-50%,"R$ 8,49",86.85%,12/2016,,,
Bearnard,-10%,"R$ 40,50",86.85%,08/2024,,,
Through the Ages,-40%,"R$ 18,59",86.82%,03/2018,,,
Matsuro Palette,-10%,"R$ 53,95",86.80%,10/2020,,,
Ball-it Hell,-50%,"R$ 5,24",86.71%,02/2024,,,
Sugar * Style,-50%,"R$ 44,49",86.70%,04/2021,,,
My Memory of Us,-84%,"R$ 8,79",86.69%,10/2018,,,
Let's Cook Together,-75%,"R$ 7,74",86.65%,11/2020,,,
Harmony's Odyssey,-50%,"R$ 14,49",86.65%,10/2022,,,
FIND ALL 3: Travel,-26%,"R$ 5,17",86.63%,07/2022,,,
Sankaku Renai: Love Triangle Trouble,-50%,"R$ 44,49",86.61%,05/2019,,,
Chippy,-34%,"R$ 19,13",86.58%,06/2019,,,
Diorama Builder,-20%,"R$ 13,59",86.58%,06/2024,,,
UBERMOSH Vol.5,-90%,"R$ 1,74",86.57%,05/2017,,,
Grand Theft Auto V,-41%,"R$ 38,63",86.57%,04/2015,—,,
8-Bit Adventures 2,-30%,"R$ 26,59",86.56%,01/2023,,,
Avernum: Escape From the Pit,-70%,"R$ 9,89",86.55%,04/2012,,,
The Legend of The Sacred Stone EX,-30%,"R$ 11,61",86.54%,03/2022,,,
Metal as Phuk,-50%,"R$ 8,49",86.53%,07/2017,,,
Dungeon Deathball,-65%,"R$ 13,47",86.50%,10/2021,,,
Mists of Aiden,-21%,"R$ 11,44",86.50%,11/2020,,,
Atelier Ayesha: The Alchemist of Dusk DX,-50%,"R$ 99,50",86.47%,01/2020,,,
Happy Game,-70%,"R$ 10,25",86.43%,10/2021,,,
Pixel Cafe,-65%,"R$ 14,69",86.39%,11/2023,,,
Wheely,-50%,"R$ 3,49",86.37%,11/2016,,,
LOVE 3,-20%,"R$ 15,99",86.33%,12/2021,,,
Metroplex Zero: Sci-Fi Card Battler,-20%,"R$ 47,99",86.33%,08/2023,,,
Prodigal,-60%,"R$ 11,59",86.31%,10/2020,,,
Man of the House,-25%,"R$ 37,49",86.24%,10/2019,,,
Atelier Rorona ~The Alchemist of Arland~ DX,-50%,"R$ 99,50",86.23%,12/2018,,,
Saki and the Crucible of Debauchery,-10%,"R$ 26,99",86.22%,07/2024,,,
Island Farmer - Jigsaw Puzzle,-30%,"R$ 4,89",86.19%,04/2021,,,
ToriDori,-26%,"R$ 14,79",86.19%,04/2023,,,
CARNAGE OFFERING Tower Defense,-70%,"R$ 9,89",86.12%,09/2023,,,
Race for the Galaxy,-20%,"R$ 31,99",86.12%,06/2017,,,
Attentat 1942,-83%,"R$ 3,87",86.11%,10/2017,,,
Growth,-50%,"R$ 16,49",86.11%,10/2023,,,
Yakiniku simulator,-42%,"R$ 6,31",86.11%,06/2022,,,
TrackMania² Stadium,-50%,"R$ 14,99",86.08%,02/2013,,,
Inkbound,-40%,"R$ 53,39",86.08%,04/2024,,,
Takoyaki Party Survival,-20%,"R$ 8,39",86.08%,08/2022,,,
FlatOut: Ultimate Carnage Collector's Edition,-70%,"R$ 20,99",86.04%,08/2008,,,
Jets'n'Guns 2,-70%,"R$ 14,99",86.02%,07/2020,,,
Trust No Bunny,-40%,"R$ 12,29",86.00%,08/2023,,,
Dark Hunting Ground,-20%,"R$ 19,99",86.00%,11/2024,,,
Cross Maid,-35%,"R$ 6,81",85.99%,08/2021,,,
UBERMOSH:SANTICIDE,-90%,"R$ 1,74",85.97%,07/2018,,,
ACE COMBAT™ 7: SKIES UNKNOWN,-80%,"R$ 57,50",85.93%,01/2019,,,
Fhtagn Simulator,-50%,"R$ 8,29",85.89%,10/2022,,,
Legends of Amberland: The Forgotten Crown,-50%,"R$ 29,99",85.89%,08/2019,,,
Wrench,-15%,"R$ 75,64",85.84%,12/2018,,,
Lingering Fragrance,-70%,"R$ 3,60",85.82%,08/2018,,,
Rail Route,-35%,"R$ 48,09",85.82%,02/2024,,,
Legends of Amberland II: The Song of Trees,-30%,"R$ 41,99",85.82%,12/2023,,,
Art Of Gravity,-50%,"R$ 3,49",85.78%,06/2017,,,
花恋月依,-20%,"R$ 16,39",85.77%,08/2024,,,
The Sushi Spinnery,-50%,"R$ 9,29",85.72%,05/2022,,,
Hadean Tactics,-40%,"R$ 26,99",85.71%,08/2023,in 5 days,2 days ago,
Project Hospital,-50%,"R$ 35,00",85.70%,10/2018,in 3 days,4 days ago,
"Cook, Serve, Delicious! 2!!",-80%,"R$ 5,19",85.59%,09/2017,in 3 days,4 days ago,
Solasta: Crown of the Magister,-70%,"R$ 26,69",85.59%,05/2021,in 3 days,4 days ago,
Lost Lands: The Four Horsemen Collector's Edition,-50%,"R$ 16,49",85.56%,07/2015,in 3 days,4 days ago,
Worms Ultimate Mayhem,-80%,"R$ 6,39",85.55%,09/2011,in 12 days,2 days ago,
Coffee flavor of love 咖啡甜恋,-45%,"R$ 4,77",85.55%,02/2021,in 3 days,4 days ago,
Castle on the Coast,-30%,"R$ 43,73",85.50%,12/2021,—,5 hours ago,
Été,-20%,"R$ 51,99",85.50%,07/2024,in 6 days,yesterday,
Unlock The Cat,-50%,"R$ 3,49",85.47%,03/2021,in 3 days,11 days ago,
UBERMOSH,-90%,"R$ 1,74",85.46%,08/2015,in 12 days,2 days ago,
Nordic Ashes: Survivors of Ragnarok,-25%,"R$ 20,25",85.46%,04/2024,in 9 days,5 hours ago,
The Rise of the Golden Idol,-10%,"R$ 53,99",85.44%,11/2024,in 4 days,3 days ago,
Dream Tactics,-30%,"R$ 38,49",85.42%,04/2024,in 12 days,2 days ago,
Driver® Parallel Lines,-75%,"R$ 7,49",85.40%,06/2007,in 2 days,12 days ago,
Banner of the Maid,-80%,"R$ 11,99",85.35%,05/2019,in 3 days,4 days ago,
Tcheco in the Castle of Lucio,-50%,"R$ 1,74",85.32%,06/2015,,,
Red Matter,-45%,"R$ 35,02",85.31%,11/2018,,,
The Chronicles of Quiver Dick,-35%,"R$ 6,81",85.31%,07/2018,,,
Shanghai Summer,-30%,"R$ 29,39",85.30%,02/2024,,,
Tear and the Library of Labyrinths,-50%,"R$ 18,99",85.28%,11/2020,,,
Silence of the Siren,-20%,"R$ 71,19",85.28%,09/2024,,,
Go To Hell Must,-20%,"R$ 16,39",85.24%,08/2024,,,
Youth Feather,-55%,"R$ 4,72",85.23%,08/2019,,,
Green Hell,-67%,"R$ 27,06",85.17%,09/2019,,,
Strategic Command: World War I,-60%,"R$ 58,26",85.17%,12/2019,,,
Persian Nights: Sands of Wonders,-75%,"R$ 11,74",85.16%,06/2017,,,
The House of Da Vinci 3,-30%,"R$ 41,99",85.14%,12/2022,,,
PANELKI,-75%,"R$ 6,62",85.11%,03/2022,,,
UBERMOSH:OMEGA,-90%,"R$ 1,74",85.05%,11/2019,,,
The House of Da Vinci,-70%,"R$ 17,99",85.05%,11/2017,,,
Angry Video Game Nerd Adventures,-20%,"R$ 7,99",85.05%,09/2013,,,
Dreamscaper,-75%,"R$ 18,49",85.04%,08/2021,,,
"Football, Tactics & Glory",-85%,"R$ 11,09",85.03%,06/2018,,,
Atelier Lulua ~The Scion of Arland~,-60%,"R$ 119,60",85.03%,05/2019,,,
Anode Heart,-40%,"R$ 29,39",85.03%,11/2023,,,
WARRIORS OROCHI 3 Ultimate Definitive Edition,-30%,"R$ 139,30",85.00%,07/2022,,,
夏恋幻梦,-24%,"R$ 8,27",85.00%,08/2022,,,
All Quiet in the Trenches,-20%,"R$ 59,19",84.99%,01/2024,,,
Niplheim's Hunter - Branded Azel,-55%,"R$ 17,09",84.98%,01/2019,,,
Sabbat of the Witch,-50%,"R$ 44,49",84.96%,10/2018,,,
Isle of Swaps,-10%,"R$ 42,29",84.96%,09/2024,,,
Rags to Dishes,-90%,"R$ 5,99",84.95%,11/2020,,,
DuckTales: Remastered,-75%,"R$ 7,49",84.93%,08/2013,,,
Turkish Throne,-24%,"R$ 7,60",84.92%,03/2024,,,
MagiCat,-50%,"R$ 8,49",84.90%,08/2017,,,
Lucky Hunter,-20%,"R$ 16,39",84.89%,11/2024,,,
Worms Revolution,-80%,"R$ 16,39",84.77%,10/2012,,,
Tyranny,-75%,"R$ 26,99",84.72%,11/2016,,,
A TAVERN FOR TEA,-20%,"R$ 8,39",84.72%,03/2023,,,
Void Sols,-10%,"R$ 53,99",84.72%,11/2024,,,
Super Bunny Man,-35%,"R$ 29,24",84.71%,05/2023,,,
Emi - New Beginning,-40%,"R$ 4,19",84.70%,11/2022,,,
Brave Alchemist Colette,-40%,"R$ 28,49",84.69%,04/2020,,,
"About Love, Hate and the other ones",-85%,"R$ 3,97",84.68%,12/2014,,,
Hell of an Office,-27%,"R$ 31,34",84.66%,10/2024,,,
Atelier Sophie: The Alchemist of the Mysterious Book DX,-50%,"R$ 99,50",84.64%,04/2021,,,
"Yes, Your Grace",-75%,"R$ 9,49",84.63%,03/2020,,,
King Of The Castle,-50%,"R$ 17,99",84.63%,03/2023,,,
Skatemasta Tcheco,-41%,"R$ 1,76",84.60%,01/2020,,,
Chessarama,-25%,"R$ 22,49",84.60%,12/2023,,,
Verdun,-80%,"R$ 11,99",84.56%,04/2015,,,
Project: AHNO's Ark,-16%,"R$ 35,27",84.55%,09/2024,,,
Atelier Ryza: Ever Darkness & the Secret Hideout,-67%,"R$ 98,67",84.54%,10/2019,,,
Warrior Kings: Battles,-80%,"R$ 5,99",84.52%,09/2003,,,
Diner Bros,-40%,"R$ 12,41",84.52%,07/2018,,,
Jumbo Airport Story,-32%,"R$ 12,64",84.50%,06/2023,,,
Rainbow Billy: The Curse of the Leviathan,-75%,"R$ 9,49",84.49%,10/2021,,,
Backwoods Town,-30%,"R$ 20,99",84.48%,11/2023,,,
Femboy Aim Trainer,-10%,"R$ 3,14",84.47%,06/2024,,,
Timeloop: Sink Again Beach,-80%,"R$ 7,69",84.46%,11/2022,,,
Virtua Unlimited Project,-20%,"R$ 28,63",84.41%,04/2024,,,
Super Alloy Ranger,-45%,"R$ 15,40",84.39%,09/2022,,,
Toy Tactics,-30%,"R$ 51,79",84.38%,09/2024,,,
Gabenwood: 99 Hidden Bucks,-50%,"R$ 1,74",84.36%,11/2022,,,
Yusetsu,-47%,"R$ 17,48",84.36%,09/2022,,,
Starward Rogue,-75%,"R$ 9,62",84.34%,01/2016,,,
真空战姬,-30%,"R$ 10,14",84.33%,07/2022,,,
Tropical Resort Story,-40%,"R$ 11,15",84.32%,04/2023,,,
Lost: Find,-40%,"R$ 8,27",84.29%,12/2021,,,
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings DX,-50%,"R$ 99,50",84.28%,04/2021,,,
Pocket Academy 3,-30%,"R$ 13,01",84.28%,07/2023,,,
Pan'orama,-50%,"R$ 22,24",84.27%,05/2023,,,
Spectator,-62%,"R$ 11,39",84.26%,02/2023,,,
Tentacle Girl,-40%,"R$ 4,19",84.26%,02/2020,,,
Drift Phonk 666,-50%,"R$ 1,74",84.23%,04/2021,,,
Purple Place - Classic Games,-30%,"R$ 4,89",84.23%,10/2023,,,
Space Raiders in Space,-22%,"R$ 18,53",84.22%,12/2020,—,,
Sister Travel,-60%,"R$ 11,59",84.19%,01/2019,,,
Last Train Home,-50%,"R$ 53,99",84.18%,11/2023,,,
EVOTINCTION,-21%,"R$ 70,30",84.15%,09/2024,,,
Troublemaker,-50%,"R$ 25,32",84.14%,03/2023,,,
Borderlands 3,-90%,"R$ 11,99",84.13%,03/2020,,,
Quadrata,-40%,"R$ 4,19",84.13%,10/2022,,,
Gibbon: Beyond the Trees,-33%,"R$ 28,13",84.13%,05/2022,,,
Cat Gets Medieval,-25%,"R$ 15,51",84.13%,04/2024,,,
Booth: A Dystopian Adventure,-45%,"R$ 18,14",84.12%,07/2020,,,
Songs of Conquest,-60%,"R$ 30,00",84.10%,05/2024,,,
Hourglass,-80%,"R$ 7,59",84.09%,10/2021,,,
Slavistan,-80%,"R$ 2,09",84.08%,07/2016,,,
AI War 2,-75%,"R$ 14,99",84.08%,10/2019,in 3 days,4 days ago,
Long Gone Days,-30%,"R$ 51,79",84.05%,10/2023,in 5 days,2 days ago,
镜花饴情 Mirage Sugar Acacia,-25%,"R$ 7,86",84.04%,04/2024,in 3 days,8 days ago,
Old Man's Journey,-50%,"R$ 13,24",84.01%,05/2017,in 3 days,4 days ago,
Project Cappuccino,-25%,"R$ 35,24",83.99%,11/2019,in 3 days,4 days ago,
Worms Reloaded,-80%,"R$ 20,98",83.98%,08/2010,in 12 days,2 days ago,
Adventure Time: Pirates of the Enchiridion,-60%,"R$ 18,99",83.98%,07/2018,in 2 days,7 days ago,
Animal Shelter,-60%,"R$ 23,99",83.97%,03/2022,in 8 days,6 days ago,
Tsuro - The Game of The Path,-50%,"R$ 9,99",83.97%,10/2020,in 5 days,2 days ago,
Cat Cafe Manager,-60%,"R$ 23,99",83.96%,04/2022,in 11 days,3 days ago,
Late Shift,-53%,"R$ 22,08",83.96%,04/2017,in 5 days,9 days ago,
日日夜夜,-50%,"R$ 4,34",83.95%,10/2020,in 3 days,8 days ago,
Witchtastic,-35%,"R$ 22,74",83.94%,10/2021,in 3 days,4 days ago,
Temple Of Snek,-50%,"R$ 12,44",83.93%,02/2023,in 3 days,4 days ago,
Monster Energy Supercross - The Official Videogame 3,-90%,"R$ 12,45",83.89%,02/2020,in 3 days,4 days ago,
Regiments,-25%,"R$ 43,49",83.89%,08/2022,in 4 days,3 days ago,
Angry Video Game Nerd II: ASSimilation,-20%,"R$ 7,99",83.89%,03/2016,,,
Eris Dysnomia,-20%,"R$ 33,59",83.87%,08/2023,,,
WARRIORS OROCHI 4,-50%,"R$ 149,50",83.86%,10/2018,,,
Dex,-90%,"R$ 3,69",83.83%,05/2015,,,
Farmer's Life,-44%,"R$ 59,16",83.83%,10/2023,—,,
Strategic Command WWII: War in Europe,-50%,"R$ 72,83",83.82%,11/2016,,,
They Are Billions,-10%,"R$ 53,09",83.82%,06/2019,,,
Ideology in Friction,-60%,"R$ 18,99",83.81%,06/2019,,,
Knights of Pen and Paper 2,-75%,"R$ 7,24",83.80%,10/2015,,,
Liz ~The Tower and the Grimoire~,-45%,"R$ 15,94",83.77%,02/2020,,,
咫尺遥心-Proof of existence,-20%,"R$ 8,39",83.75%,08/2024,,,
DEEMO -Reborn-,-40%,"R$ 28,49",83.73%,09/2020,,,
Deponia: The Complete Journey,-90%,"R$ 6,59",83.72%,07/2014,,,
Niche - a genetics survival game,-60%,"R$ 21,99",83.72%,09/2016,,,
Colony Ship: A Post-Earth Role Playing Game,-40%,"R$ 64,79",83.72%,11/2023,,,
Endless Fables: The Minotaur's Curse,-80%,"R$ 9,39",83.69%,12/2016,,,
Fresh Start Cleaning Simulator,-60%,"R$ 8,27",83.67%,12/2022,,,
exclusive memory,-20%,"R$ 28,63",83.66%,09/2024,,,
WAGAMAMA HIGH SPEC,-50%,"R$ 53,99",83.64%,07/2017,,,
Mad Nords: Probably an Epic Quest,-80%,"R$ 4,09",83.63%,12/2016,,,
My Friend Stalin,-50%,"R$ 1,74",83.63%,06/2021,,,
Tobla - Divine Path,-25%,"R$ 19,86",83.62%,03/2024,,,
Finnish Army Simulator,-34%,"R$ 58,73",83.57%,01/2023,,,
Rule the Waves 3,-40%,"R$ 64,79",83.56%,05/2023,,,
The Disney Afternoon Collection,-75%,"R$ 9,99",83.55%,04/2017,,,
鸢之歌-Singing Iris,-60%,"R$ 4,35",83.55%,01/2021,,,
Dungeon Inn,-10%,"R$ 37,79",83.55%,11/2024,,,
Pray Game,-20%,"R$ 59,19",83.53%,09/2023,,,
Battle Ram,-95%,"R$ 4,44",83.52%,01/2023,,,
Dicefolk,-40%,"R$ 28,19",83.50%,02/2024,,,
The Future Radio and the Artificial Pigeons,-30%,"R$ 62,29",83.43%,02/2023,,,
Flipon,-50%,"R$ 6,89",83.41%,10/2020,,,
Single By Choice,-10%,"R$ 23,84",83.40%,06/2024,,,
Istanbul: Digital Edition,-60%,"R$ 25,17",83.39%,10/2018,,,
XCOM® 2,-95%,"R$ 4,99",83.35%,02/2016,,,
In Other Waters,-75%,"R$ 11,74",83.35%,04/2020,,,
Paper Dolls: Original / 纸人,-50%,"R$ 16,49",83.35%,04/2019,,,
Prime of Flames,-35%,"R$ 25,99",83.35%,12/2022,,,
Cornucopia®,-20%,"R$ 47,99",83.35%,07/2023,,,
Christmas Adventure: Candy Storm,-65%,"R$ 2,44",83.34%,04/2016,,,
Paradiso Guardian,-30%,"R$ 75,59",83.34%,09/2023,,,
GLAD VALAKAS TOWER DEFENCE,-50%,"R$ 1,74",83.30%,12/2018,,,
Crush the Industry,-35%,"R$ 30,54",83.30%,03/2023,,,
Beat Hazard 2,-70%,"R$ 17,39",83.29%,10/2019,,,
IxSHE Tell,-50%,"R$ 44,49",83.26%,08/2020,,,
Age of Wonders Shadow Magic,-75%,"R$ 8,99",83.25%,10/2010,,,
Hero of the Kingdom: The Lost Tales 2,-80%,"R$ 4,70",83.24%,11/2021,,,
Tandem: A Tale of Shadows,-60%,"R$ 13,19",83.24%,10/2021,,,
False Myth,-30%,"R$ 33,24",83.24%,02/2021,,,
Lightyear Frontier,-30%,"R$ 51,79",83.22%,03/2024,,,
Solium Infernum,-30%,"R$ 75,59",83.21%,02/2024,,,
Queen's Quest 2: Stories of Forgotten Past,-75%,"R$ 11,74",83.20%,02/2017,,,
Kebab Chefs! - Restaurant Simulator,-40%,"R$ 32,99",83.20%,01/2024,,,
And the Hero Was Never Seen Again,-20%,"R$ 37,59",83.20%,02/2024,,,
UBERMOSH Vol.3,-90%,"R$ 1,74",83.13%,08/2016,,,
Samorost 2,-80%,"R$ 2,99",83.12%,12/2009,,,
Chess Survivors,-60%,"R$ 6,79",83.10%,08/2023,,,
Havendock,-60%,"R$ 19,99",83.10%,04/2023,,,
OPUS: The Day We Found Earth,-50%,"R$ 23,49",83.10%,04/2016,,,
Few Nights More,-25%,"R$ 35,24",83.10%,04/2022,,,
失业了，我获得了亿万游戏财产！,-10%,"R$ 37,79",83.10%,08/2024,,,
Mind Over Magnet,-10%,"R$ 29,69",83.09%,11/2024,,,
Rock 'N' Roll Defense,-50%,"R$ 1,74",83.08%,08/2016,,,
Galaxy Trucker: Extended Edition,-50%,"R$ 10,34",83.07%,03/2019,,,
Mainframe Defenders,-80%,"R$ 4,09",83.06%,02/2020,,,
Coromon,-75%,"R$ 14,99",83.04%,03/2022,,,
Choice of Life: Wild Islands,-15%,"R$ 19,97",83.02%,09/2024,,,
Darkness and Flame: Born of Fire Collector's Edition,-50%,"R$ 16,49",83.01%,12/2016,,,
The Matchless Kungfu,-20%,"R$ 47,99",83.01%,11/2024,,,
Jets'n'Guns Gold,-70%,"R$ 7,94",82.97%,02/2014,,,
ECO HOLE,-92%,"R$ 2,63",82.95%,10/2021,,,
GRIME,-45%,"R$ 26,11",82.95%,08/2021,,,
Ancient Enemy,-75%,"R$ 11,74",82.93%,04/2020,,,
Lilitales,-50%,"R$ 18,99",82.93%,10/2019,,,
WW2 Rebuilder,-23%,"R$ 55,84",82.93%,01/2023,—,,
Crown Trick,-75%,"R$ 26,22",82.91%,10/2020,,,
Snow-Swept Quest,-45%,"R$ 11,37",82.89%,05/2021,,,
Dungeon's Legion,-20%,"R$ 47,99",82.88%,10/2023,,,
Puzzler World,-70%,"R$ 2,54",82.87%,05/2010,,,
Cooking Simulator,-60%,"R$ 23,99",82.85%,06/2019,,,
UBERMOSH:WRAITH,-90%,"R$ 1,74",82.82%,01/2017,,,
Pluviophile,-50%,"R$ 1,74",82.82%,06/2020,,,
Warlock - Master of the Arcane,-75%,"R$ 22,49",82.80%,05/2012,,,
Five Dates,-47%,"R$ 24,90",82.80%,11/2020,,,
Wildmender,-33%,"R$ 60,29",82.77%,09/2023,in 6 days,yesterday,
Far Cry® 4,-80%,"R$ 17,99",82.76%,11/2014,in 2 days,5 days ago,
Atelier Marie Remake: The Alchemist of Salburg,-40%,"R$ 149,40",82.75%,07/2023,in 12 days,2 days ago,
Basements n' Basilisks: Storms of Sorcery,-35%,"R$ 6,81",82.73%,02/2023,in 3 days,4 days ago,
